State,County,Democratic,Republican,Party
NM,bernalillo,149651.6002,95641.49152,1
FL,calhoun,0,142.7237586,0
NM,torrance,0,0,NAN
UT,box elder,10695.30921,18271.08964,0
FL,columbia,11815.18292,11040.28989,0
TX,edwards,3208.330712,0,1
MI,iron,0,5962.606127,0
IN,bartholomew,25292.10532,15420.51678,1
MT,treasure,0,0,NAN
FL,liberty,0,0,NAN
WV,brooke,3666.942894,12849.48371,0
TX,ward,0,10893.75546,0
WA,skamania,3987.325386,2387.12074,0
VA,caroline,8969.769072,3939.343752,0
VA,floyd,3.612942105,3631.222774,0
MI,dickinson,7576.034802,14821.39829,0
MA,dukes,23067.33661,12513.7893,0
MT,richland,0,14020.67584,0
TX,trinity,0,3494.111408,0
TN,clay,0,0,NAN
NE,howard,360.4853975,3498.088765,0
WV,putnam,15682.96395,19896.59897,1
WY,laramie,26704.815,28682.35005,1
VT,lamoille,20682.23637,1739.115501,1
WI,green,9087.002968,13060.17033,1
TX,childress,0,0,NAN
MA,hampden,101889.4866,71138.14982,0
FL,hardee,0,0,NAN
OH,allen,19654.80443,22203.27319,0
NM,colfax,3568.989411,9027.155913,0
NV,pershing,0,0,NAN
WI,vilas,10047.59828,4735.752823,0
TX,gillespie,18426.33691,15514.8299,0
WV,cabell,25607.91759,18930.81917,1
TX,cameron,80794.14721,47742.98183,1
MI,clare,0,9899.430312,0
UT,davis,81727.69532,62397.20027,0
NY,dutchess,75048.01994,53232.29263,1
TX,motley,0,4783.541212,0
VA,henrico,91103.47422,47195.95194,1
MN,grant,0,6497.217811,0
VA,rappahannock,13708.63804,3559.64446,0
NM,taos,13664.22325,6920.143917,1
TX,smith,51603.46365,30805.27975,0
MN,yellow medicine,0,6899.783851,0
MN,pipestone,767.7125048,6998.237437,0
TX,somervell,0,0,NAN
IN,benton,0,0,NAN
WV,hampshire,0,0,NAN
PA,columbia,14053.59541,16415.58742,0
TX,ector,25759.54966,27592.74286,0
MD,howard,106824.947,62409.13769,1
TN,jefferson,5457.373814,12775.53439,1
VA,manassas city,19878.54673,6102.766302,1
MN,scott,46907.79825,40265.01391,1
PA,northampton,68829.72238,55784.90212,1
TN,fentress,0,0,NAN
TN,dyer,7464.726322,8895.585214,0
WI,burnett,418.5835687,3512.488374,0
NJ,monmouth,151542.7491,105667.0833,1
IN,brown,5373.672914,8405.524696,0
TX,chambers,9176.470438,13713.77192,0
VA,roanoke city,27303.55387,12668.26189,0
NY,putnam,38708.0254,41267.53811,0
NM,san juan,19135.44507,18293.44623,1
WY,crook,1639.327593,7523.574626,0
MI,ingham,76815.96269,39884.94304,1
TN,obion,3462.785816,7600.984542,0
PA,franklin,30592.58228,32464.15795,0
MT,lake,9789.037913,0,0
UT,cache,39708.80403,20451.57293,0
OH,fayette,0,9008.3715,0
VA,accomack,9299.494051,0,0
FL,pasco,101614.7592,74602.93473,0
NY,nassau,301126.6989,200083.523,1
ND,towner,0,4289.478215,0
IN,kosciusko,16111.20155,18347.98618,0
NE,colfax,0,0,NAN
TX,frio,0,674.1697851,1
MT,madison,7036.610925,3118.8803,0
WA,island,27535.93108,22983.0646,1
TX,andrews,0,14779.18089,0
TN,hardin,0,9578.092375,0
NE,dundy,0,0,NAN
VA,chesapeake city,62401.82812,43644.66673,1
NE,hayes,0,0,NAN
TX,parmer,0,0,NAN
NE,buffalo,22486.28236,13925.90605,0
PA,carbon,8035.651475,20388.65411,0
NJ,atlantic,63311.01643,40953.21548,0
TX,kimble,0,11357.56517,0
NE,seward,9624.129811,13350.09575,0
OH,lake,53298.81607,47158.23719,1
TX,tom green,25652.44922,21653.06338,0
TX,mason,3288.471393,0,0
NV,humboldt,0,12442.38393,0
IN,noble,2522.685929,9629.260368,0
WI,dunn,14602.19572,11330.63569,1
NY,lewis,0,7925.902542,0
IN,orange,0,1744.235903,0
TN,crockett,0,0,NAN
MT,beaverhead,11722.43331,4138.728246,1
MN,le sueur,5887.005977,14409.08363,0
MI,berrien,40030.33968,24366.5269,0
NY,otsego,20141.16407,13042.59565,0
TX,matagorda,3333.826623,2360.913972,0
OH,marion,5305.484906,17228.1109,0
WI,washburn,3613.991984,6230.187584,0
TN,cocke,0,5574.275853,0
TX,orange,12424.14799,20603.98352,0
MT,yellowstone,39876.6867,33378.22228,0
MD,carroll,47433.4011,47134.74927,0
UT,wayne,8663.073301,0,1
WY,park,17048.44671,18207.83753,0
PA,pike,16629.0133,17436.73587,0
MI,lenawee,19239.24622,21595.64567,0
NJ,burlington,110084.1027,80046.25173,0
WI,iowa,6755.733691,9636.708248,0
PA,huntingdon,3659.797335,10841.20454,0
PA,berks,87526.66698,67123.12954,0
IN,knox,2176.935246,12287.57113,0
ND,ramsey,3012.83214,8571.413343,0
WA,klickitat,7624.071842,7780.455673,0
TX,howard,0,11041.99717,0
MD,queen anne's,25297.3258,28734.93439,0
VA,buckingham,489.4839632,0,0
VA,rockingham,19708.86606,17155.52052,0
IN,henry,4736.633841,16489.36869,0
CT,litchfield,51002.7046,43042.68003,0
PA,erie,63952.80679,44683.37527,0
NY,albany,83803.00651,49911.96765,1
PA,bucks,145669.1582,105409.7588,0
WI,buffalo,0,3999.618029,0
PA,mckean,4806.634228,11035.07761,1
NJ,cape may,29733.26435,34476.55732,0
TN,haywood,3751.027606,0,0
PA,fulton,0,4759.904449,0
TX,jim wells,0,10408.29622,0
TX,lee,1328.897878,3971.449251,0
TX,williamson,119587.3092,78620.33717,0
TN,knox,107655.5775,67587.76234,0
IN,putnam,1997.123475,11436.23612,0
OH,noble,0,8202.776292,1
WY,big horn,499.4982448,1134.467711,0
MI,ionia,7978.797623,14433.86092,0
IN,daviess,0,8259.722649,1
VA,cumberland,2167.953887,0,0
ME,waldo,16145.90102,6546.933053,0
TN,scott,0,3507.559878,0
NE,stanton,0,6746.954914,0
MN,sherburne,24543.76783,29413.39949,0
NE,boyd,0,0,NAN
NY,orleans,4209.340087,9976.532997,0
WI,vernon,6258.356691,6547.145643,0
WI,oconto,2523.577927,11020.83165,0
VA,louisa,10694.21978,4367.923732,0
ME,aroostook,11075.62334,6972.42697,0
FL,sumter,33414.11598,44842.85432,0
TX,newton,0,0,NAN
MN,cook,19810.62194,0,1
TX,brooks,0,3119.747143,1
WY,hot springs,2115.076393,13780.16731,0
MI,kalkaska,0,5203.959891,0
FL,levy,0,2638.699102,0
WV,harrison,14669.75191,19125.95282,0
PA,butler,50352.67589,40250.94486,0
WI,price,0,1376.42683,0
WI,shawano,2732.766337,8835.685845,0
TN,carter,6544.707636,11965.89354,0
NY,genesee,12453.3504,15276.80371,0
MT,missoula,44084.32975,23655.88681,1
NY,jefferson,24560.46635,21295.75288,0
MN,itasca,10358.11136,11678.61217,1
ND,williams,8262.787155,27049.93148,1
WY,sheridan,15314.29156,15671.85543,1
NE,garden,1109.254494,514.1319918,0
TX,coleman,0,8485.207468,0
ND,ward,19910.69274,20112.40489,1
OH,wood,37499.67324,28942.36418,0
WV,wirt,0,0,NAN
NE,box butte,0,14031.42401,0
NM,los alamos,47938.14019,36466.64506,0
NY,bronx,296070.2514,166198.0926,1
NM,sierra,0,14232.28601,0
FL,palm beach,301445.7008,184994.2259,1
TX,haskell,0,0,NAN
MI,midland,29159.46808,22324.65684,0
NE,blaine,4012.955807,0,0
VA,bedford,23681.85062,16100.53049,0
OH,paulding,0,5465.472435,1
UT,millard,1161.936944,2260.091201,0
NJ,essex,181171.5312,96784.90637,1
TN,humphreys,0,4450.986785,0
UT,washington,37526.48573,34077.42466,0
TX,briscoe,2476.397053,0,0
TX,wise,8446.687743,11419.05238,0
FL,volusia,107159.9643,75941.91407,0
PA,schuylkill,24084.05235,30699.39438,0
TX,willacy,0,0,NAN
CT,new london,67783.52821,50660.08824,1
TX,kinney,0,242.617056,0
NE,saline,0,0,NAN
MI,tuscola,3683.212593,10606.45849,0
ND,slope,9302.050552,4825.219944,0
TX,val verde,6312.166009,5299.182717,1
WI,fond du lac,21677.11074,24864.51555,0
VA,powhatan,15436.00424,14042.0526,1
ND,richland,4055.894134,11406.63204,0
VA,york,38504.72762,31268.28433,1
MN,dodge,6852.398189,16694.91352,0
TX,dickens,0,2647.415984,0
FL,jefferson,7417.5873,0,0
TX,titus,2182.123356,0,0
MN,lyon,11433.95335,6056.501426,1
TX,hall,0,0,NAN
IN,spencer,0,6906.266684,0
WI,marquette,0,4866.788029,0
MI,allegan,23578.55605,21276.08962,0
ME,kennebec,28890.47909,22141.7272,1
TX,hidalgo,164853.7512,97818.84738,1
MD,montgomery,249901.9313,142717.0886,1
OH,wyandot,0,11557.72271,0
UT,summit,39535.72691,24768.88339,0
UT,rich,0,2171.866996,0
VA,clarke,12687.07204,16467.83114,1
NE,kearney,4034.558703,10761.99411,0
PA,mifflin,252.0456144,12611.43135,0
MI,charlevoix,12786.62976,11500.3722,1
TX,walker,16867.35065,0,0
NE,thurston,0,0,NAN
ND,traill,7858.991987,3021.211545,0
IN,clinton,298.923305,9118.433025,0
ME,sagadahoc,19768.5184,14368.47603,0
AZ,greenlee,0,9302.768957,0
OH,meigs,0,7212.016894,1
VA,hanover,38271.09233,33949.72835,0
MT,chouteau,4772.644672,0,0
WI,sauk,14105.87502,17582.61802,1
ND,mchenry,730.9241926,6095.49068,0
TX,concho,0,0,NAN
MN,todd,0,4843.775265,0
WV,mingo,0,4582.355019,0
MN,winona,18888.30362,16123.96177,1
VA,rockbridge,9015.085814,8331.613828,0
NY,rensselaer,41904.90259,34268.42605,1
MI,isabella,21925.29796,10575.85519,1
TX,wharton,4237.310323,4364.061228,0
MD,harford,66845.15278,54816.26021,1
OH,van wert,1865.298146,13893.22707,0
TX,madison,0,0,NAN
TN,anderson,18859.37652,18283.97417,1
NM,lincoln,11606.01733,6581.79363,0
NJ,morris,133255.4985,90915.96449,1
ND,oliver,0,9589.232558,0
NE,wayne,17930.57723,8450.24893,0
WA,asotin,4317.566878,19982.7749,0
WY,teton,37903.59775,12347.90823,0
TX,erath,15661.41897,3066.97155,0
VT,grand isle,15325.76279,6918.48343,1
OH,morrow,0,8684.217416,0
MN,kittson,434.1487367,3118.766152,0
NE,holt,2041.831855,6196.169812,0
VA,petersburg city,16434.17038,0,1
WV,hancock,3415.498698,12995.27458,0
MN,redwood,0,5492.802934,0
MN,hennepin,275444.8161,166195.113,1
TX,hansford,675.9716687,0,0
NE,greeley,0,1366.74906,0
TX,rains,0,5564.308413,0
MA,worcester,180343.1342,118235.508,1
UT,weber,51434.38596,44186.64286,1
TX,delta,0,0,NAN
VA,waynesboro city,8053.284388,11205.07578,0
ME,piscataquis,0,2966.7383,1
MT,petroleum,136.4626559,0,0
WV,logan,0,9465.286285,0
TX,jefferson,55431.13174,29230.65021,0
VA,virginia beach city,108385.6742,69774.90153,0
IN,vermillion,0,8577.1069,0
MA,berkshire,38269.26721,29728.86029,1
VA,prince edward,12934.87512,0,0
NE,sioux,8293.043259,0,1
TX,presidio,5306.32134,0,1
IN,jennings,0,9616.98516,0
ND,sioux,0,0,NAN
NY,madison,20586.74392,17392.01608,0
NM,sandoval,37172.23048,33065.18184,1
TN,weakley,8505.777673,5991.027979,0
OH,montgomery,117410.2434,77769.05809,0
IN,miami,0,13045.75267,0
IN,newton,0,3369.830531,0
NE,sherman,0,2659.364082,0
ND,stark,9907.181202,23550.20906,0
WV,pleasants,0,10863.61405,0
TX,panola,808.9823853,2361.29896,0
WA,whitman,39166.74062,2082.200164,1
NM,hidalgo,0,0,NAN
TX,ochiltree,0,0,NAN
WV,nicholas,0,4367.027748,1
ND,divide,2480.898599,5310.375785,0
MT,garfield,0,0,NAN
VA,gloucester,10385.38182,14321.87006,1
VA,fauquier,27837.08848,29822.60731,1
OH,henry,457.9511037,12369.35773,0
TN,union,0,416.8450294,0
NE,deuel,0,5695.815388,0
TX,gregg,28374.94269,17624.66225,0
MI,kent,142588.8418,88918.00622,1
VA,fairfax city,39859.94874,21543.91087,1
IN,elkhart,39070.08985,31781.06038,0
NY,new york,375303.4921,215703.826,1
VA,giles,0,8444.163729,1
WI,polk,7253.415414,10962.96677,0
ND,bottineau,1543.406214,3183.539793,0
WI,richland,250.6425362,5229.178034,1
IN,wabash,3708.269369,13472.51258,0
OH,champaign,3471.450317,13375.39296,0
UT,emery,0,4797.966985,1
MN,olmsted,52723.44857,31321.74863,1
MI,kalamazoo,69833.45034,41309.13807,1
MN,marshall,687.2354477,5557.784325,0
TX,roberts,10650.02454,10303.2376,0
TN,trousdale,0,0,NAN
TX,kleberg,11291.22174,11976.45154,1
PA,blair,24199.47895,27868.41949,0
FL,hernando,31999.97398,37796.95183,0
WA,kitsap,62991.12375,49468.55984,1
OH,franklin,272444.6536,163235.3638,1
TX,cass,2573.681067,4132.997483,0
VT,chittenden,61862.0682,32583.31155,0
OH,butler,85604.16897,61904.46415,1
NE,franklin,0,3113.284717,0
MD,cecil,23317.25306,28606.98991,1
NY,yates,7205.86341,9910.588789,1
